date,test_year,sector,weight,sector_forward_return,contribution
20190405,2019,화학섬유제조업,0.1,-0.10050086292192728,-0.010050086292192728
20190508,2019,전자부품제조업,0.4,-0.015092198465940287,-0.006036879386376115
20190508,2019,소프트웨어개발및공급업,0.2,0.29131237387193876,0.05826247477438776
20190508,2019,"측정,시험,항해,제어및기타정밀기기제조업;광학기기제외",0.2,0.40530216229765625,0.08106043245953126
20190508,2019,특수목적용기계제조업,0.2,0.035022193837824345,0.007004438767564869
20190607,2019,전자부품제조업,0.3,-0.04753062912630098,-0.014259188737890293
20190607,2019,기초의약물질제조업,0.2,-0.13395596455968745,-0.02679119291193749
20190607,2019,기초화학물질제조업,0.1,0.001275231572561486,0.0001275231572561486
20190607,2019,기타금융업,0.1,1.622560142844876,0.1622560142844876
20190607,2019,기타화학제품제조업,0.1,0.030151538963456792,0.0030151538963456796
20190607,2019,자연과학및공학연구개발업,0.1,-0.17211302654249983,-0.017211302654249982
20190607,2019,특수목적용기계제조업,0.1,-0.12290539668749167,-0.012290539668749169
20190708,2019,특수목적용기계제조업,0.4,0.02522146639560674,0.010088586558242697
20190708,2019,도시락및식사용조리식품제조업,0.2,-0.09872124759285006,-0.019744249518570012
20190708,2019,의약품제조업,0.2,-0.09251338947072119,-0.018502677894144236
20190708,2019,전자부품제조업,0.2,-0.10316889454665579,-0.020633778909331157
20190806,2019,기초의약물질제조업,0.2,0.01692223370779633,0.0033844467415592664
20190806,2019,기타화학제품제조업,0.2,-0.03757835418279676,-0.007515670836559352
20190806,2019,소프트웨어개발및공급업,0.2,0.02364813261463583,0.004729626522927167
20190806,2019,의약품제조업,0.2,0.03341613148839406,0.006683226297678813
20190806,2019,특수목적용기계제조업,0.2,0.11220316377089401,0.022440632754178805
20190905,2019,특수목적용기계제조업,0.2,-0.053982593807646195,-0.01079651876152924
20190905,2019,기초의약물질제조업,0.1,-0.03141074300622615,-0.003141074300622615
20190905,2019,기초화학물질제조업,0.1,0.041443617925218446,0.004144361792521845
20190905,2019,기타화학제품제조업,0.1,0.023186704039608097,0.00231867040396081
20190905,2019,도시락및식사용조리식품제조업,0.1,-0.04664884455066565,-0.0046648844550665645
20190905,2019,소프트웨어개발및공급업,0.1,-0.07075047266666556,-0.007075047266666557
20190905,2019,"영화,비디오물,방송프로그램제작및배급업",0.1,-0.06977496463302302,-0.0069774964633023025
20190905,2019,의약품제조업,0.1,0.026593240295960108,0.0026593240295960108
20190905,2019,전자부품제조업,0.1,0.391524680685444,0.0391524680685444
20191010,2019,기타화학제품제조업,0.2,0.013493609717640798,0.0026987219435281595
